SNo,Name,Symbol,Month,Day,Year,High,Low,Open,Close,Volume,Marketcap
2476,XRP,XRP,5,15,2020,0.20341572,0.197301035,0.202940474,0.198910818,2046326382,8774523681
2477,XRP,XRP,5,16,2020,0.202101284,0.197923776,0.199081285,0.200031841,1794850124,8823975223
2478,XRP,XRP,5,17,2020,0.203872087,0.19971286,0.200536297,0.201255189,1752063749,8877940578
2479,XRP,XRP,5,18,2020,0.206324573,0.201023922,0.201353479,0.205176389,1968537517,9050915906
2480,XRP,XRP,5,19,2020,0.205326912,0.201947303,0.205250883,0.204027792,1973351018,9000248027
2481,XRP,XRP,5,20,2020,0.205628154,0.200245048,0.203935296,0.201707162,1933723829,8897878389
2482,XRP,XRP,5,21,2020,0.202703473,0.191448245,0.201832204,0.195509412,1753934487,8624477986
2483,XRP,XRP,5,22,2020,0.20174545,0.193609152,0.195535425,0.200343234,1852264124,8837711659
2484,XRP,XRP,5,23,2020,0.201768593,0.197664075,0.20041782,0.198856234,1459815520,8772115860
2485,XRP,XRP,5,24,2020,0.201452789,0.19540311,0.198910826,0.195431456,1447641496,8621039125
2486,XRP,XRP,5,25,2020,0.197629189,0.192201349,0.195285062,0.197327144,1671594106,8704663297
2487,XRP,XRP,5,26,2020,0.197611052,0.193404091,0.197273423,0.193974566,1585691777,8556771553
2488,XRP,XRP,5,27,2020,0.198821185,0.193764416,0.19391972,0.197857235,1535112977,8728047163
2489,XRP,XRP,5,28,2020,0.200902093,0.1956213,0.197923844,0.200594747,1615654544,8848806628
2490,XRP,XRP,5,29,2020,0.202827277,0.19712884,0.200669407,0.198348213,1477357235,8749705583
2491,XRP,XRP,5,30,2020,0.206473946,0.19692549,0.198349035,0.206219636,1683149544,9096936497
2492,XRP,XRP,5,31,2020,0.211519487,0.20174866,0.206236392,0.202905551,1737139256,8950742760
2493,XRP,XRP,6,1,2020,0.210731043,0.202112083,0.20283416,0.210249193,1702904267,9274691763
2494,XRP,XRP,6,2,2020,0.214335297,0.20069621,0.210181885,0.202764321,1850078103,8944512706
2495,XRP,XRP,6,3,2020,0.204478182,0.201270347,0.202901334,0.203663381,1335828090,8984172826
2496,XRP,XRP,6,4,2020,0.206493927,0.201864051,0.203718712,0.204981596,1368430496,9042323044
2497,XRP,XRP,6,5,2020,0.206744132,0.202068942,0.205044156,0.204091961,1264429379,9003078695
2498,XRP,XRP,6,6,2020,0.205002324,0.202431948,0.20420809,0.203142206,1048611012,8961182289
2499,XRP,XRP,6,7,2020,0.204674248,0.199672119,0.203179826,0.203449285,1141964765,8974728442
2500,XRP,XRP,6,8,2020,0.204177595,0.20166693,0.203425501,0.20377116,1042709461,8988927252
2501,XRP,XRP,6,9,2020,0.204555472,0.200991837,0.203808957,0.202012696,1108186467,8911356401
2502,XRP,XRP,6,10,2020,0.203485217,0.200590425,0.201975923,0.202938178,1106635421,8952182050
2503,XRP,XRP,6,11,2020,0.203700906,0.189520402,0.202915916,0.190180143,1354031836,8389388715
2504,XRP,XRP,6,12,2020,0.196276885,0.18885822,0.190164691,0.193943061,1157151094,8555381745
2505,XRP,XRP,6,13,2020,0.194205436,0.189932227,0.193989491,0.193106091,1050423848,8518460614
2506,XRP,XRP,6,14,2020,0.193667456,0.191066788,0.193178699,0.191616885,1023497502,8452767514
2507,XRP,XRP,6,15,2020,0.193751744,0.183816114,0.191616885,0.193073631,1315332448,8545014832
2508,XRP,XRP,6,16,2020,0.193270309,0.190028679,0.193064326,0.19130686,1158919075,8466821452
2509,XRP,XRP,6,17,2020,0.197300404,0.190305948,0.191495759,0.193443021,1323161116,8561363236
2510,XRP,XRP,6,18,2020,0.193456976,0.189625844,0.193454516,0.190957334,1045504279,8451352166
2511,XRP,XRP,6,19,2020,0.191168353,0.186534019,0.19092436,0.186789952,1097387856,8266913026
2512,XRP,XRP,6,20,2020,0.18980558,0.186086188,0.186789952,0.188500178,966690908.1,8342603851
2513,XRP,XRP,6,21,2020,0.189102529,0.185500606,0.188467732,0.185609893,893641268.5,8214686195
2514,XRP,XRP,6,22,2020,0.190079723,0.185593838,0.185664564,0.189272192,1209278721,8376771498
2515,XRP,XRP,6,23,2020,0.189972561,0.187062224,0.189294949,0.188679897,1093605185,8350557840
2516,XRP,XRP,6,24,2020,0.190857323,0.183049881,0.188699567,0.184271799,1138044691,8155465082
2517,XRP,XRP,6,25,2020,0.184981573,0.180956252,0.184075807,0.183569649,1055030012,8124389491
2518,XRP,XRP,6,26,2020,0.185866707,0.179897685,0.18347154,0.18267138,1269492277,8084634051
2519,XRP,XRP,6,27,2020,0.185063886,0.174489012,0.183095502,0.176850592,1142888783,7827018778
2520,XRP,XRP,6,28,2020,0.180509711,0.175249039,0.176872383,0.177692292,1139431604,7864270564
2521,XRP,XRP,6,29,2020,0.179559454,0.176242723,0.177648277,0.177959463,1164729579,7876094956
2522,XRP,XRP,6,30,2020,0.178354598,0.175004852,0.177700847,0.175870468,1010363683,7783640657
2523,XRP,XRP,7,1,2020,0.178490556,0.174702878,0.175750055,0.176975855,1115989502,7832562653
2524,XRP,XRP,7,2,2020,0.17833796,0.174233969,0.177154776,0.177244188,1053683055,7844438480
2525,XRP,XRP,7,3,2020,0.178442715,0.175129855,0.177264591,0.17633569,976699960.2,7804230337
2526,XRP,XRP,7,4,2020,0.179678908,0.176195912,0.176261767,0.177983881,1000145449,7877175644
2527,XRP,XRP,7,5,2020,0.178728751,0.174790235,0.177913616,0.177016972,969679447,7834382405
2528,XRP,XRP,7,6,2020,0.189148271,0.176471152,0.177016972,0.188566907,1423923826,8345557156
2529,XRP,XRP,7,7,2020,0.189004961,0.182713144,0.188566907,0.184787359,1067033698,8178282640
2530,XRP,XRP,7,8,2020,0.205726939,0.184199515,0.184814352,0.20469235,1878269321,9059233839
2531,XRP,XRP,7,9,2020,0.21029224,0.198559758,0.204597533,0.202909652,1809158571,8980335539
2532,XRP,XRP,7,10,2020,0.202841519,0.193317883,0.202841519,0.198652287,1161794555,8791913887
2533,XRP,XRP,7,11,2020,0.203610496,0.198640232,0.198724106,0.201197431,996288334.3,8904556378
2534,XRP,XRP,7,12,2020,0.203251498,0.198360554,0.201216879,0.200537991,850245454.6,8875371017
2535,XRP,XRP,7,13,2020,0.205161346,0.195939739,0.200537991,0.198575132,1197056593,8788499210
2536,XRP,XRP,7,14,2020,0.199556463,0.195535733,0.198494511,0.198809204,1197284578,8798858701
2537,XRP,XRP,7,15,2020,0.199623126,0.196692805,0.198774313,0.197110851,1067413757,8723693327
2538,XRP,XRP,7,16,2020,0.19741633,0.19018113,0.19702107,0.194047669,1055841762,8588123641
2539,XRP,XRP,7,17,2020,0.197142687,0.191723186,0.194050771,0.19428096,936113620.5,8598448553
2540,XRP,XRP,7,18,2020,0.201602282,0.19393656,0.194349,0.199341009,870207692.6,8822395225
2541,XRP,XRP,7,19,2020,0.201336099,0.196133452,0.199404294,0.199134968,828392852.5,8813276313
2542,XRP,XRP,7,20,2020,0.199774831,0.193704307,0.199142394,0.195065155,848780530.8,8741285749
2543,XRP,XRP,7,21,2020,0.200471287,0.194007539,0.194870999,0.198988467,928954951.2,8917097739
2544,XRP,XRP,7,22,2020,0.20373892,0.196882692,0.199028733,0.203342161,935529987.4,9112196068
2545,XRP,XRP,7,23,2020,0.209243651,0.201667494,0.203330951,0.207577826,1443659224,9309610859
2546,XRP,XRP,7,24,2020,0.208013423,0.202637279,0.207813598,0.204048567,1294356195,9151327925
2547,XRP,XRP,7,25,2020,0.21659823,0.203756889,0.20395925,0.214102459,1225769666,9602232677
2548,XRP,XRP,7,26,2020,0.224030918,0.212792311,0.213994108,0.21498184,1448138807,9641671805
2549,XRP,XRP,7,27,2020,0.227414508,0.211675761,0.214948035,0.223671602,1762737985,10031396993
